,"cln3-1","cln3-2","clb2-2","clb2-1","alpha0","alpha7","alpha14","alpha21","alpha28","alpha35","alpha42","alpha49","alpha56","alpha63","alpha70","alpha77","alpha84","alpha91","alpha98","alpha105","alpha112","alpha119","cdc15_10","cdc15_30","cdc15_50","cdc15_70","cdc15_80","cdc15_90","cdc15_100","cdc15_110","cdc15_120","cdc15_130","cdc15_140","cdc15_150","cdc15_160","cdc15_170","cdc15_180","cdc15_190","cdc15_200","cdc15_210","cdc15_220","cdc15_230","cdc15_240","cdc15_250","cdc15_270","cdc15_290","cdc28_0","cdc28_10","cdc28_20","cdc28_30","cdc28_40","cdc28_50","cdc28_60","cdc28_70","cdc28_80","cdc28_90","cdc28_100","cdc28_110","cdc28_120","cdc28_130","cdc28_140","cdc28_150","cdc28_160","elu0","elu30","elu60","elu90","elu120","elu150","elu180","elu210","elu240","elu270","elu300","elu330","elu360","elu390"
"YOR356W",0.45,-0.62,-0.22,0.7,-0.07,,-0.09,0.47,-0.07,0.75,-0.06,-0.53,0.08,-0.02,0.03,-0.11,0.34,-0.39,0.09,-0.37,0.08,-0.11,-0.15,-0.39,-0.3,0.03,-0.33,0.24,0.12,0.25,-0.71,0.21,-0.11,0.08,-0.44,0.2,-0.22,0.23,0,0.13,-0.12,-0.02,0.27,0.33,0.23,0.46,0.47,-0.52,-0.12,0.21,-0.01,-0.41,-0.52,-0.22,-0.06,0.3,0.07,0.55,0.26,-0.19,,0.01,0.18,-0.56,-0.09,-0.22,-0.18,-0.09,-0.36,-0.16,0.24,0.13,0.34,-0.13,0.37,0.37,0.35
"YOR357C",0.33,-0.54,0.03,-0.29,-0.23,0.04,0.1,0.13,0.2,0.4,0.1,0.15,-0.1,-0.25,-0.2,-0.16,0.04,-0.52,0.08,-0.5,0.27,0.45,1.14,1.15,0.41,0.31,0.33,0.25,0.22,0.39,0.27,0.34,-0.07,-0.12,-0.5,-0.29,-0.23,0.18,0.12,-0.18,-0.16,-0.96,-0.5,-0.37,-0.78,-0.93,0.36,-0.74,-0.56,-0.03,0.05,-0.3,-0.64,-0.08,0.12,0.54,0.41,-0.13,0.21,0.42,,-0.27,0.64,0.41,-0.09,-0.07,-0.09,0.13,-0.09,-0.02,0.1,0.1,-0.27,-0.06,0,0.13,-0.15
"YOR358W",0.03,,-1.32,-0.07,-0.08,0.18,0.08,0.03,-0.42,-0.08,-0.06,0.13,-0.01,0.36,-0.33,0.36,0.15,0.06,-0.4,-0.01,-0.06,0.11,0.32,0.43,0.11,0.02,-0.13,-0.12,0.36,-0.01,0.08,-0.09,0.2,0.02,-0.03,-0.12,0.27,0.03,-0.35,-0.02,-0.17,-0.16,0.19,-0.23,-0.35,-0.28,1.02,0.35,0.1,0.03,-0.46,-0.12,-0.47,-0.33,0.08,0.08,0.05,-0.08,-0.06,-0.11,-0.08,,,0.53,0.1,-0.45,-0.08,0.07,-0.11,-0.02,-0.02,-0.29,-0.15,0.31,-0.11,-0.07,0.31
"YOR359W",0.19,-0.81,-0.6,-0.4,0.21,0.31,-0.61,0.01,-0.1,-0.16,0.14,0.19,0.28,-0.12,-0.05,-0.2,0.19,0.02,0.01,-0.09,0.01,-0.03,-0.53,0.36,-0.07,0.17,0.06,0.12,0.15,0.44,0.06,0.3,-0.09,0.21,-0.35,-0.19,0.05,0.42,0.38,0.35,-0.16,-0.87,0.01,-0.13,-0.3,-0.38,-0.08,0.18,0.45,0.38,-0.25,0.29,0.23,0.4,0.14,-0.49,-0.46,-0.3,-0.13,-0.3,,0.12,-0.2,-0.39,-0.1,-0.13,0.59,0.71,0.48,0.01,-0.04,-0.02,0.22,-0.24,-0.49,-0.41,-0.19
"YOR360C",0.42,,-1.06,-0.1,0.49,0.17,-0.58,-0.06,-0.28,0.09,0,0.03,-0.1,0.32,-0.24,0.14,0.4,-0.37,-0.16,-0.08,0.12,0.1,0.45,0.66,0.26,0.26,-0.48,-0.66,-0.45,0.18,-0.78,0.23,0,0.25,-0.29,0.83,-0.24,0.25,-1.26,0,-0.33,0.41,-0.16,0.42,0.28,0.2,0.37,0.49,-0.13,-0.1,-0.21,0.08,0,0.09,0.28,-0.55,-0.17,-0.01,-0.2,,-0.13,-0.05,0.24,0.61,0.19,0.07,-0.09,0.18,0,-0.12,0.2,-0.31,-0.05,0.14,-0.27,-0.42,-0.12
"YOR361C",-0.01,0.14,-0.03,-0.47,0.13,-0.45,-0.54,-0.21,0.03,0.01,0.18,0.01,0.19,-0.16,0.19,0.09,0.23,-0.02,0.19,0.19,0.04,-0.1,,0.49,0.05,0.16,,-0.57,,-0.48,,-0.25,,,,0.51,,-0.28,,,,0.84,,-0.31,,-0.15,-0.53,-0.07,0.18,0,0.2,0,0.03,0.13,-0.1,0.43,0.03,,-0.15,-0.09,-0.23,0.22,-0.04,-0.31,-0.37,-0.15,0.05,0.62,0.26,0.34,0.25,0.05,-0.09,0.05,-0.13,-0.33,-0.24
"YOR362C",0.77,0.12,-0.15,-0.2,-0.05,0.37,0,0.24,-0.07,-0.08,0.2,-0.05,0.17,0.35,0.07,0.16,0.03,-0.55,-0.14,-0.44,-0.14,-0.07,-0.82,0.25,0.59,-0.2,-0.07,-0.18,,0.11,-0.09,-0.04,0.32,0.13,0.07,0.37,0.08,-0.03,,-0.21,0.11,-0.27,0.21,-0.2,-0.06,-0.07,-0.34,0.08,-0.37,-0.85,-0.24,-0.4,-0.32,-0.32,-0.16,0.78,0.43,0.56,,0.09,0.04,0.74,0.28,0.37,0.23,-0.34,-0.52,-0.5,-0.4,-0.21,0.22,0.12,0.2,0.08,0.25,0.28,0.21
"YOR363C",0.66,-0.4,-0.45,-0.25,0.05,-0.04,-0.02,-0.02,0.06,-0.04,0.11,-0.15,0.17,-0.14,0.03,-0.04,-0.06,-0.2,0.01,0.21,0.01,0.06,,0.57,0.2,0.09,0.7,-0.34,,-0.59,,-0.22,0.57,,0.2,,,-0.59,,0,,,,-0.34,-0.11,-0.15,0.53,0.2,0.23,0.17,-0.19,-0.02,0.17,0.17,-0.24,-0.56,-0.19,0.04,-0.01,-0.21,-0.09,,,0.02,-0.12,0.11,-0.05,-0.14,-0.12,0.2,-0.05,0.13,0.14,-0.1,0.1,-0.1,-0.02
"YOR364W",0.15,,,-0.15,-0.02,0.13,0.27,0.07,-0.16,0.27,0.16,0.1,0.12,0.4,-0.93,-0.18,0.02,-0.03,-0.22,-0.3,0.21,0.12,-0.55,0.16,0.16,-0.41,-0.09,-0.7,0.07,-0.14,-0.22,-0.07,0.52,-0.51,0.26,-0.36,0.42,-0.27,0.62,-0.59,0.33,0.39,1.06,-0.02,0.21,-0.27,0.03,0.3,-0.06,0.3,-0.22,0.05,0.13,0.07,0.07,-0.15,-0.38,-0.52,-0.17,0.28,0.4,-0.27,0.13,0.57,0.22,-0.17,0.02,-0.01,0.17,0.11,-0.35,-0.44,0.19,0.35,-0.25,-0.46,0.05
"YOR365C",0,-0.92,,-0.1,0.18,,0.4,-0.04,-0.11,0.02,0.09,0.31,0.09,0,-0.23,0.14,-0.19,-0.11,-0.29,-0.05,-0.07,-0.13,-0.83,-1.37,-1.65,-0.78,,-0.32,,0.3,,0.59,,0.18,,0.03,,0.22,,0.52,,,0.49,0.94,0.79,0.88,0.64,0,0.24,0.56,-0.08,0.13,-0.27,0.13,0.09,-0.36,-0.39,-0.66,-0.05,0,0.07,0.09,-0.13,0.61,0.05,0.53,0.72,0.64,0.15,0.18,-0.18,-1.4,-0.33,0.25,-0.28,-0.73,-0.2
"YOR366W",-0.6,,,-0.04,0.04,0.36,-0.03,0.06,-0.03,0.32,0.13,-0.04,0.04,0.37,-0.39,,-0.03,-0.13,-0.76,-0.19,0.19,0.09,-0.23,-0.02,-0.32,0.15,-0.1,-0.09,-0.19,0.14,-0.22,0.39,0.05,-0.02,-0.29,-0.16,0.09,-0.06,-0.2,-0.17,0.09,-0.14,0.96,0.43,0.2,-0.26,0.24,0.61,0.41,0.22,0.43,0.09,0.08,0.27,-0.1,-0.25,-0.51,0.06,-0.37,-0.37,-0.33,-0.16,-0.31,0.33,0.03,0.28,-0.32,0.05,0.02,0.08,-0.23,-0.17,0.08,0.68,-0.13,-0.62,-0.07
"YOR367W",,-0.54,-0.14,-0.14,0.11,0.16,-0.02,-0.21,0.2,-0.34,0.22,-0.07,0.14,-0.17,0.16,-0.07,0.1,-0.04,0.18,0.01,-0.42,0.07,0.05,0.13,0.05,0.1,,0.01,,0.06,,0.19,,-0.15,,-0.25,,-0.11,,-0.34,,,,0.11,0.07,0.1,-0.01,-0.41,-0.09,-0.36,-0.21,-0.1,0.04,0.27,0.14,0.35,0.07,0.32,-0.26,-0.11,,0.24,0.14,-0.12,0.08,0.12,0.34,-0.2,-0.12,0.03,-0.09,0.05,-0.12,-0.26,0.18,0.21,-0.09
"YOR368W",-0.32,0.68,,-0.07,0,-0.06,0.26,0.15,-0.06,0,-0.04,-0.13,-0.11,0.43,-0.26,0.11,0.19,-0.09,-0.58,0.13,0.07,,0.31,0.53,0.36,0.73,-0.48,-0.14,0,0.17,-0.74,0.27,-0.13,0.14,-0.02,0.07,-0.42,-0.1,-0.4,-0.18,-0.2,-0.16,0.17,-0.08,0.09,0.2,-0.1,-0.2,0.61,-0.19,0.49,0.34,0.24,0.37,-0.57,-0.64,-0.13,0.01,-0.29,,-0.12,0.34,-0.16,-0.74,-0.29,0.5,-0.14,0.25,0.25,0.45,-0.16,-0.04,-0.08,1.04,-0.04,-0.93,-0.06
"YOR369C",0.23,-0.71,0.04,-0.56,0.29,-0.09,-0.19,-0.06,-0.19,-0.04,0.01,0.1,0.19,-0.19,0.23,-0.22,0.18,-0.24,0.38,-0.01,-0.13,-0.04,0.67,0.42,0.04,-0.19,0.01,-0.28,0.1,-0.07,0.24,-0.08,-0.03,0.09,-0.22,-0.17,0.08,-0.2,0.04,-0.26,0.59,-0.34,0.58,-0.35,-0.5,-0.2,-0.44,-0.43,0.04,-0.24,0.16,-1,-0.54,-0.55,-0.43,1.8,0.75,,-0.34,0.34,0.14,0.18,0.54,-0.13,-0.29,0.06,-0.04,0.41,0.39,0.35,0.48,0.03,-0.02,-0.05,-0.32,-0.45,-0.4
"YOR370C",-0.23,0.4,-0.49,0.58,-0.22,-0.35,0.02,0.02,0.05,-0.05,0.16,0,0,-0.05,0.07,0.07,0.1,-0.2,-0.13,-0.02,0.26,0.29,-0.72,-0.98,-0.89,-0.35,-0.76,0.22,0.2,-0.15,-0.05,0.35,0.43,0.48,0.18,0,-0.29,0.3,0.53,0.32,0.16,-0.35,0.68,0.22,0.3,0.18,-0.11,-0.59,-0.29,-0.09,0.12,0.18,-0.16,0.13,-0.14,0.27,0.06,0.14,-0.03,,0.01,0.21,0.29,-0.45,-0.3,0.03,-0.24,0.41,0.29,-0.06,0.12,0.18,0.18,0.08,-0.14,-0.12,0.03
"YOR371C",0.59,-0.29,-0.29,-0.2,-0.21,-0.36,-0.23,-0.5,0.21,0.35,0.22,0,0.1,-0.12,0.27,-0.08,-0.12,-0.3,0.2,0.13,0.15,0.28,-0.29,0.83,0.25,0.22,,-0.42,0.75,-0.07,0.3,-0.04,0.24,,0.04,-0.17,,-0.34,,-0.22,,,,-0.32,-0.62,-0.13,0.3,-0.82,-0.21,0.19,-0.61,0.01,-0.05,0.22,0.29,0.1,-0.09,-0.28,0.39,0.21,0.33,,,0.29,-0.07,-0.42,-0.09,0.08,-0.13,-0.24,-0.18,0.15,0.02,-0.18,0.28,0.41,0.08
"YOR372C",0.14,0.03,-0.54,0.31,-0.83,-0.46,-0.43,,0.2,0.2,0.4,0.25,-0.16,-0.14,-0.46,0.09,0.12,0.2,0.15,0.15,0.23,0.48,0.1,0.21,-0.08,-0.08,0.03,-0.48,,-0.61,-0.08,-0.54,0.72,,-0.3,,0.35,-0.21,,-0.73,0.7,0.3,0.89,0.12,-0.08,-0.24,-0.41,-0.9,0.16,0.55,0.49,0.56,0.2,0.06,-0.26,-0.5,-0.38,0.19,0.38,0.25,,-0.16,-0.23,0.06,-0.51,-0.36,-0.72,-0.22,0.31,-0.02,0.44,0.4,0.39,0.35,0.2,-0.12,-0.22
"YOR373W",0.42,0.54,-0.38,-0.14,-0.47,-0.41,0.03,-0.11,0.35,0.49,0.3,-0.2,-0.06,-0.37,-0.08,0.02,0.02,-0.14,0.3,0.06,0.09,0.19,0.02,-0.14,-0.14,0.25,0.52,0.24,0.28,0.12,0.32,0.17,-0.04,0.05,-0.13,-0.07,0.29,0.04,0.62,0.16,0.04,-0.94,-0.03,-0.55,-0.53,-0.53,-1.13,-0.92,1.06,0.56,0.39,0.28,-0.25,-0.55,-0.36,0.36,0.2,0.54,0.47,0.29,,-0.46,-0.48,-0.38,-0.29,-0.46,-0.05,0.06,-0.23,0.09,0.17,0.36,0.15,-0.18,0.37,0.44,-0.04
"YOR374W",-0.18,-0.94,-0.56,0.14,-0.32,2.34,2.38,,0.25,-0.23,-0.3,-0.69,-0.58,-0.25,-0.21,-0.09,-0.17,-0.72,-0.55,-0.63,-0.49,0.26,0.59,0.26,0.26,0.13,-0.56,0.08,-0.76,0.16,-0.81,0.24,-0.34,0.08,-0.29,-0.04,-0.56,0.36,-0.08,0.31,-0.16,-0.04,0.04,0.35,0.35,0.4,,-0.17,-0.51,0.05,0.01,0.02,-0.21,0.15,0.09,0.88,0.08,-0.09,0.21,0.04,,-0.64,0.08,-0.82,-0.04,-0.02,-0.37,-0.67,-0.23,-0.49,0.17,0.41,0.13,-0.26,0.52,1.12,0.53
"YOR375C",0.08,-0.36,0.74,-0.06,0.03,0.17,0.3,0.24,0.12,0.06,0.14,-0.29,-0.34,-0.36,-0.12,-0.09,0.26,-0.12,0.15,-0.08,-0.04,-0.01,0.15,0.36,0.04,-0.1,-0.13,-0.16,0.25,-0.21,0.05,0.02,0.14,-0.1,-0.16,-0.29,0.41,-0.24,0.1,-0.22,0.1,0.07,0.52,0.23,-0.24,-0.62,-0.59,-0.42,-0.21,-0.41,-0.09,-0.32,-0.22,-0.08,-0.11,1.23,0.5,,-0.14,0.13,-0.04,0.45,0.32,-0.25,-0.31,-0.4,0.43,0.47,0.55,0.06,0.29,-0.03,-0.13,0.02,-0.02,-0.62,-0.07
"YOR376W",0.06,-1,-0.25,0.15,0.18,0.31,0.31,0.11,0.35,-0.04,0.04,0.14,-0.02,0.06,-0.15,-0.02,-0.04,-0.09,-0.09,-0.11,-1.63,0.71,-0.06,0.26,0.32,-0.24,-0.53,-0.03,0.36,0.22,-0.41,-0.07,-0.17,-0.69,-0.47,-0.55,-0.15,-0.28,0.24,-0.28,0.33,0.5,0.54,0.37,0.39,0.39,-0.22,1.1,1.24,-0.05,0.68,0.36,-0.05,0.24,-0.42,,0.48,0.58,-1.64,-0.42,-0.22,-1.64,,0.47,-0.42,0.01,-0.01,0.16,0.26,-0.01,-0.13,0.23,-0.65,0.24,0.03,-0.27,0.09
"YOR377W",0.37,-0.2,-0.2,0.18,0.19,-0.54,-0.42,-0.73,0.07,0.49,0.21,0,0.02,-0.15,0,-0.13,0.15,0.19,0.19,0,0.27,0.21,-0.57,-0.23,-0.73,-0.42,-0.38,-0.16,-0.34,0.03,-0.11,0.06,-0.23,0.12,-0.08,-0.14,-0.01,-0.38,0.09,-0.09,-0.3,0.65,0.64,0.99,0.75,0.82,-0.42,0.21,0.93,0.65,0.38,0.4,0.2,0.1,-0.25,-0.32,-0.44,-0.12,-0.16,,-0.33,-0.21,-0.63,0.86,-0.11,-0.07,-0.28,-0.26,-0.15,0.02,0.01,-0.07,-0.07,-0.05,0.31,0.01,-0.15
"YOR378W",0.16,-0.54,,-0.12,-0.28,-0.33,0.03,0.27,0.17,-0.13,0.11,0.13,-0.06,-0.07,-0.07,0.09,0.14,0.13,-0.02,-0.07,0.14,-0.18,0.49,0.52,1.16,0.4,-0.55,0.02,0.25,0.02,-0.81,0.49,-0.49,0.11,-0.63,-0.31,-0.17,-0.09,-0.24,-0.17,-0.55,-0.28,-0.1,0.2,0.32,0.41,0.43,0.47,0.86,1.04,0.16,0.23,-0.13,-0.5,-0.35,-0.19,-0.25,0.16,-0.07,-0.25,-0.35,-0.46,-0.79,0.18,-0.13,0.11,0.26,0.3,0.21,-0.03,-0.02,-0.26,-0.17,-0.02,-0.17,-0.21,-0.06
"YOR379C",0.19,-0.62,-0.04,-0.01,0.15,-0.2,0.12,-0.3,-0.08,-0.24,-0.01,-0.11,0.05,-0.13,-0.4,0.01,0.02,-0.2,1.15,0.16,-0.17,0.19,0.05,-0.12,-0.6,-0.96,0.28,0.16,0.34,0.18,0.59,0.2,0.34,-0.12,0.16,-0.26,0.16,-0.66,0.47,-0.1,-0.16,-0.31,0.39,0.08,0.03,-0.12,0.28,0.46,0.79,0.89,0.42,0.29,-0.04,-0.1,-0.47,-0.44,-0.44,0.21,-0.58,-0.47,,0.13,-0.95,0.1,-0.51,-0.34,0.15,0.1,0.19,-0.06,-0.04,0.4,0,-0.1,0.16,0.13,-0.17
"YOR380W",-0.49,-0.4,-0.43,-0.07,0.19,-0.32,-0.18,0,0,-0.05,0.22,-0.05,0.05,0.25,-0.13,-0.14,-0.16,-0.26,0.02,-0.05,0.1,0.54,0.2,0.01,-0.19,0.07,-0.4,0.27,0.07,0.11,-0.19,0.08,0.25,-0.34,-0.22,-0.3,0.14,-0.01,0.26,0.02,0.57,-0.4,0.24,0.2,-0.04,-0.42,0.22,-0.12,-0.24,0.2,0,0.18,-0.07,-0.13,0.07,-0.08,-0.24,0.29,0.04,-0.11,,0.15,-0.16,0.26,-0.37,-0.44,-0.25,-0.11,0.15,-0.17,0.21,0.3,0.03,0.01,0.12,0.2,0.04
"YOR381W",-0.42,-0.89,-0.29,0.36,,,-0.09,-0.15,0.16,0.05,0.28,,-0.14,,-0.25,,-0.15,,0.52,,-0.24,,-0.39,-0.39,-0.07,0.06,0.42,-0.12,0.54,0.06,0.21,,-0.36,-0.24,0.06,-0.33,0.84,-0.26,0.43,0.1,0.45,-0.42,0.67,-0.39,-0.47,-0.38,0.44,-0.12,-0.84,-0.46,-0.24,-0.32,-0.28,-0.37,0.28,-0.08,-0.01,0.06,0.42,0.16,0.31,0.63,0.42,,-0.28,,0.48,0.15,,0.05,-0.23,0.26,0.33,,-0.7,,-0.06
"YOR382W",0.57,-1.25,-0.18,0.32,-2.1,-1.5,-1.32,-0.72,-0.34,-0.01,0.54,0.23,0.62,0.74,0.74,0.37,0.42,0.27,0.66,0.17,0.65,0.57,0.01,-0.26,-0.07,-0.58,0.14,-0.37,0.41,-0.29,-0.09,-0.31,0.53,,0.39,-0.14,0.4,-0.01,,-0.37,0.73,0.27,0.87,-0.82,0.38,-0.82,0.2,0.26,0.18,0.25,-0.03,-0.21,-0.12,-0.11,-0.17,0.37,-0.18,-0.25,-0.26,-0.18,,0.38,-0.12,2.32,2.47,0.25,-0.19,-0.9,-0.67,-0.61,-0.3,-0.35,-0.37,-0.12,-0.15,-0.53,-0.86
"YOR383C",-0.45,-0.34,-0.1,0.32,-0.92,-1.39,-0.95,-1.67,-0.23,-1.56,0.51,-0.1,1.02,0.99,0.84,0.64,0.71,0.45,0.51,0.57,-0.71,1.28,-0.5,-0.47,-0.8,-0.54,0.38,-0.23,0.8,-0.31,0.11,-0.45,0.38,-0.45,0.5,-0.36,0.67,-0.21,0.64,-0.32,1.03,0.48,1.09,-0.42,-0.39,-0.63,0.04,-0.03,0.14,0.04,-0.19,0.05,-0.04,0.2,-0.24,0.34,-0.41,-0.06,-0.11,0.09,,0.3,-0.13,1.26,1.52,-0.24,0.74,-0.17,-0.44,-0.68,-0.15,-0.2,-0.17,-1.02,-0.03,-0.06,-0.36
"YOR384W",0.07,-0.89,-0.47,0.15,0.38,-0.36,-0.47,,-0.38,-0.06,0.01,-0.09,-0.07,0.96,-0.18,0.3,0.01,-0.06,-0.32,0.13,0.01,0.18,-0.24,-0.07,0,-0.47,0.33,-0.25,0.76,-0.31,0.07,-0.07,0.57,,0.37,-0.29,0.4,0.1,,-0.49,0.6,-0.15,0.66,-0.56,-0.22,-0.75,-0.38,-0.48,-0.66,-0.86,0.34,-0.14,0.1,0.37,-0.01,0.52,-0.18,0.03,0.06,0.34,0.54,-0.01,0.43,0.3,1.13,-0.1,0.03,-0.26,-0.2,-0.2,0.19,-0.24,0.08,0.09,0.08,-0.83,-0.06
"YOR385W",0.14,-0.45,-0.34,-0.2,1.67,-0.15,-0.12,0.01,-0.16,-0.04,-0.03,0.05,0.03,-0.24,-0.03,-0.18,-0.21,-0.24,0,-0.26,0.04,-0.16,0.13,0.25,0.09,0.02,,-0.15,,-0.13,,-0.02,,0.94,0.28,-0.18,,-0.16,,-0.3,,0.25,,-0.3,-0.26,-0.47,0.88,-0.68,-1.01,0.08,-0.37,-0.15,0.65,0.67,0.18,0.19,-0.38,-0.18,-0.27,-0.49,,-0.16,1.04,1.63,0.19,0.52,-0.07,0.22,-0.13,-0.28,-0.33,-0.28,-0.38,-0.09,-0.35,-0.46,-0.19
"YOR386W",-0.32,-0.67,-0.54,0.56,-0.09,1.7,0.2,,-0.18,-0.16,-0.09,-0.14,-0.02,0.26,-0.23,0.37,-0.16,-0.27,-1.04,-0.09,-0.12,0.06,0.01,0.75,0.34,0.36,0.09,0.16,0.31,-0.06,-0.26,-0.02,0.14,-0.02,-0.09,-0.02,-0.19,0.14,,-0.26,-0.04,-0.38,-0.13,-0.24,-0.19,-0.38,,-1.37,-0.92,-1.25,-0.08,0.26,0.08,0.49,0.66,0.49,0.6,0.63,0.9,0.3,0.34,-1.13,,1.66,0.37,0.13,-0.26,-0.58,-0.44,-0.32,-0.24,-0.4,-0.51,0.23,0.29,-0.16,0.23
"YOR387C",0.36,-0.67,-0.76,-0.27,,0.37,0.48,-0.05,0.1,0.02,-0.13,-0.13,,-0.18,,-0.03,-0.05,-0.23,0.16,0.2,-0.03,-0.52,0.16,0.25,0.07,0.51,,0.23,,-0.22,,-0.05,,,,-0.37,,-0.49,,-0.29,,,,-0.26,0.69,-0.22,0.79,-1.68,-0.21,-0.21,-0.4,0.32,-0.07,0.32,0.37,0.09,-0.17,0.6,0.18,-0.32,-0.1,0.03,0.46,0.3,0.38,0.36,-0.04,0.21,-0.25,-0.19,-0.25,0.11,-0.44,-0.23,-0.08,0.12,0.01
"YOR388C",-1.79,-0.74,-0.51,1.4,-0.63,,-0.9,,0.34,-0.1,0.23,-0.26,0.04,0.44,,-0.29,0.32,-0.08,0.84,0.27,-0.2,-0.02,-1.26,-0.51,-0.13,0.46,0.44,0.71,0.48,0.6,-0.26,0.35,-0.36,0.16,-0.44,0.11,0.34,0.1,-2.6,0.27,-0.04,0.16,0.37,0.33,0.27,0.44,0.2,0.28,-0.61,-0.47,0.65,-0.08,0.28,0.42,-0.18,0.11,-0.35,-0.54,-0.23,0.07,-0.23,0.87,-0.18,-0.39,0.24,0.19,0.33,-0.19,-0.13,0.13,0.11,0.21,-0.09,0.02,0.19,-0.81,0.18
"YOR389W",-0.71,0.01,-0.76,-0.34,0.08,-0.03,0.05,-0.05,-0.08,0.08,0.11,0.16,0.14,-0.19,-0.03,-0.15,0.04,-0.23,0.27,0.02,0.08,-0.31,0.27,-0.5,-0.89,-0.65,,-0.17,,-0.25,,0.16,,0.19,,0.09,,-0.53,,-0.47,,0.23,,0.57,0.53,1.41,0.43,0.85,0.09,-0.19,0.12,0.21,0.24,0.51,-0.35,-0.75,-0.59,-0.01,-0.45,-0.33,,0.52,-0.29,-0.07,-0.36,-0.02,0,0.39,-0.07,0.05,-0.02,-0.02,-0.16,0.07,0.02,0.07,0.12
"YOR390W",0.03,-0.06,-0.47,-0.07,-0.27,-0.24,-0.27,-0.02,-0.06,0.16,0.38,0.16,0.05,0.22,-0.47,-0.24,0.25,0.03,0.03,-0.16,0.45,0.01,-0.58,0.08,0.07,,0.29,-0.18,0.36,-0.32,-0.1,-0.11,0.23,0.47,0.42,0.17,0.14,-0.1,-0.17,-0.53,0.65,0.36,0.5,-0.76,-0.15,-0.73,-0.33,0.06,0.24,0.26,0.13,0.15,0.06,-0.04,-0.19,-0.31,-0.14,-0.06,0.26,0.19,0.04,-0.23,-0.07,-0.01,-0.18,0.05,-0.13,0.29,0.21,-0.01,0.24,-0.18,-0.13,0.38,-0.15,-0.34,-0.04
"YOR391C",0.93,-1,,-0.07,0.2,,0.5,-0.27,0.26,0.18,0.08,-0.1,-0.1,-0.1,-0.43,0.01,0.08,-0.29,,-0.1,0.1,-0.03,-0.39,-0.31,0.6,1.01,0.74,0.39,0.01,-0.35,-0.42,-0.35,-0.22,0.16,0.16,0.61,0.58,0.42,0.24,-0.11,0.19,-0.64,-0.73,-0.54,-0.62,-0.42,1.93,1.03,-0.26,0.15,-1.62,-0.85,-0.34,-0.34,-0.52,-0.04,0.03,0.7,0.15,-0.18,-0.43,0.38,0.21,0.35,0,0.19,0.32,0.29,-0.1,-0.02,-0.25,-0.06,-0.34,-0.14,-0.47,-0.1,0.35
"YOR392W",-0.15,,-0.62,0.31,-0.05,-0.32,,0.18,-0.45,0.03,0.05,0.21,0.21,0.28,-0.57,0.31,0.18,0.19,,-0.07,-0.01,-0.16,-0.5,0.29,0.08,0.02,-0.07,-0.2,0.16,0.31,0.05,0.07,-0.09,0.49,-0.2,0.58,-0.14,-0.06,-0.22,-0.33,0.36,0.05,0.13,-0.22,-0.13,-0.43,0.35,0.35,0.28,-0.18,0.47,-0.48,-0.09,0.14,-0.59,-0.01,-0.18,-0.37,-0.27,-0.01,-0.18,0.78,-0.01,0.35,-0.25,0.35,0.15,0.55,0.26,0.31,-0.16,-0.46,-0.54,0.03,-0.44,-0.36,0.21
"YOR393W",0.2,-0.84,,-0.56,0,0,0.01,0.04,0.26,0.13,0.12,0.09,0.02,-0.24,-0.02,-0.26,-0.06,-0.11,0.13,-0.02,0.24,-0.34,0.31,0.2,0.15,-0.21,,-0.27,,0.04,,0.06,,0.2,,0.06,,-0.19,,-0.15,,,,-0.03,0.01,-0.19,0.12,0.32,-0.22,0.02,-2.1,-0.88,0.02,0.02,,1.36,0.78,0.22,0.02,0.32,,,,0.6,0.35,0.11,0.34,-0.35,-0.13,-0.04,-0.15,-0.21,0.11,-0.26,-0.43,-0.08,0.16
"YOR394W",-0.81,-1.06,-0.56,0.46,0,0.23,0.22,0.23,0.26,0.08,0.14,-0.05,-0.02,-0.5,-0.09,0.13,0,-0.26,0.05,-0.09,-0.74,0.4,-0.36,-0.02,0.18,0.33,-0.78,0.65,-0.07,0.58,-0.48,0.57,0.05,0.5,-0.32,0.41,-0.42,0.2,-0.32,0.5,-0.61,-0.42,-0.59,0.15,0.1,0.17,0.46,-0.11,0.32,0.37,1.05,0.41,0.77,0.93,-0.11,-0.14,-1.98,-0.44,-1.48,0.02,-0.07,,,0.04,-0.23,0.06,-0.31,0.24,0.15,0.1,0.07,0.15,-0.29,0.01,-0.08,0.15,-0.05
"YPL001W",0.11,-0.69,-0.17,0.01,-0.08,-0.15,0.19,-0.22,0.08,0.22,0.34,0.05,0.15,-0.24,0.05,-0.29,0.17,-0.54,-0.02,-0.1,0.22,0.17,-0.1,-0.12,0.07,0.11,0.33,-0.1,0.24,-0.33,0.33,-0.05,-0.07,0.21,-0.37,0.05,0.32,-0.31,0.23,-0.13,0.12,-0.41,0.17,-0.07,-0.04,-0.1,0.29,-0.2,0.25,0.32,-0.06,-0.06,-0.11,0.19,0.1,0.01,-0.11,-0.24,-0.03,,-0.05,-0.35,0.05,0.4,-0.2,0.06,0.36,0.14,0.26,-0.17,0.08,-0.06,-0.22,-0.24,0,-0.34,-0.06
